time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-02 10:07:51.600000,0.0,27480,100,27485,29556,27475,10696,27470,22301
2020-06-02 10:07:52.310000,0.0,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:07:54.700000,0.0,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:07:55.200000,0.0,27485,31756,27490,6993,27475,10596,27470,22301
2020-06-02 10:07:55.600000,0.0,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:07:56.010000,0.0,27485,30856,27490,6993,27475,10596,27470,22301
2020-06-02 10:07:56.370000,0.0,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:07:56.930000,0.0,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:07:58.640000,0.0,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:07:59.820000,0.0,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:02.140000,27541.62,27485,32756,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:02.700000,27541.62,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:03.740000,27541.62,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:04.340000,27541.62,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:04.820000,27541.62,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:05.320000,27541.62,27485,32756,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:05.730000,27541.62,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:06.150000,27541.62,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:06.530000,27541.62,27480,29498,27485,7249,27470,10596,27465,22301
2020-06-02 10:08:07.530000,27541.62,27485,32756,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:08.280000,27541.62,27485,29556,27490,6993,27475,10596,27470,22301
2020-06-02 10:08:08.780000,27541.62,27490,32500,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:09.480000,27541.62,27490,29500,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:10.120000,27541.62,27490,29700,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:10.370000,27541.62,27490,31200,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:10.680000,27541.62,27490,30400,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:10.950000,27558.48,27490,32800,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:11.950000,27558.48,27490,29500,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:12.920000,27558.48,27490,29505,27495,5163,27480,10596,27475,22301
2020-06-02 10:08:14.870000,27558.48,27485,5688,27490,27117,27480,10596,27475,5000
2020-06-02 10:08:15.260000,27558.48,27485,32856,27490,7298,27475,10596,27470,22301
2020-06-02 10:08:15.780000,27558.48,27485,32856,27490,7298,27475,10596,27470,22301
2020-06-02 10:08:16.530000,27558.48,27480,5688,27485,27168,27475,5000,27470,10596
2020-06-02 10:08:17.090000,27558.48,27485,32856,27490,7298,27475,10596,27470,22301
2020-06-02 10:08:17.620000,27558.48,27485,32855,27490,7298,27475,10596,27470,22301
2020-06-02 10:08:21.320000,27562.43,27485,32855,27490,7298,27475,10596,27470,22313
2020-06-02 10:08:22.010000,27562.43,27485,32855,27490,7298,27475,10596,27470,22313
2020-06-02 10:08:23.730000,27562.43,27485,32855,27490,7298,27475,10596,27470,22313
