time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-12 09:46:49.78,0.0,27835,5066,27840,10644,27825,10576,27820,3867
2020-06-12 09:46:50.50,0.0,27840,5066,27845,40053,27830,5510,27825,8950
2020-06-12 09:46:51.40,27872.88,27840,5066,27845,20053,27830,5510,27825,8950
2020-06-12 09:46:52.36,27872.88,27840,5066,27845,20053,27830,5510,27825,8950
2020-06-12 09:46:53.47,27872.88,27840,5066,27845,20053,27835,5510,27825,8950
2020-06-12 09:46:54.47,27872.88,27840,5066,27845,20053,27835,5510,27825,8950
2020-06-12 09:46:55.20,27872.88,27845,5066,27850,12767,27835,5510,27830,3866
2020-06-12 09:46:56.17,27872.88,27840,5066,27845,20053,27830,5510,27825,8950
2020-06-12 09:46:57.39,27872.88,27835,5066,27840,10644,27830,36,27825,10594
2020-06-12 09:46:58.78,27872.88,27835,5066,27840,10644,27830,36,27825,10594
2020-06-12 09:46:59.27,27872.88,27830,6566,27835,10054,27820,6463,27815,18418
2020-06-12 09:47:00.27,27896.32,27830,5066,27840,10644,27820,17222,27815,8364
2020-06-12 09:47:01.12,27896.32,27830,6566,27835,20053,27820,7168,27815,11577
2020-06-12 09:47:02.17,27896.32,27830,6566,27835,20053,27820,6469,27815,11577
2020-06-12 09:47:03.22,27896.32,27825,5066,27830,1500,27820,6469,27815,11577
2020-06-12 09:47:04.26,27896.32,27825,6566,27830,12144,27820,6,27815,7223
2020-06-12 09:47:04.86,27896.32,27825,6566,27830,11554,27820,6,27815,7223
2020-06-12 09:47:05.84,27896.32,27820,5066,27825,1500,27815,523,27810,17776
2020-06-12 09:47:06.89,27896.32,27825,6566,27830,12144,27815,7723,27810,12076
2020-06-12 09:47:07.94,27896.32,27825,6566,27830,1500,27815,7723,27810,22075
2020-06-12 09:47:08.56,27896.32,27825,6566,27830,12144,27815,6223,27810,12076
2020-06-12 09:47:09.56,27896.32,27820,5066,27825,1500,27815,6223,27810,12076
2020-06-12 09:47:10.61,27896.32,27820,5060,27825,1500,27815,523,27810,17776
2020-06-12 09:47:11.67,27888.84,27825,6560,27830,1500,27815,17777,27810,12021
2020-06-12 09:47:12.71,27888.84,27825,5060,27830,1500,27820,5700,27815,12077
2020-06-12 09:47:13.78,27888.84,27825,6560,27830,11554,27815,7723,27810,22075
2020-06-12 09:47:14.81,27888.84,27830,6560,27835,20053,27820,5700,27815,12067
2020-06-12 09:47:15.85,27888.84,27830,6560,27835,20053,27820,7200,27815,12067
2020-06-12 09:47:16.26,27888.84,27830,5060,27840,31304,27820,17254,27815,8854
2020-06-12 09:47:17.45,27888.84,27825,5060,27830,1500,27820,5700,27815,12067
2020-06-12 09:47:18.49,27888.84,27825,5060,27830,1500,27820,5700,27815,12067
2020-06-12 09:47:19.06,27888.84,27825,6560,27830,11554,27815,7713,27810,22085
2020-06-12 09:47:19.90,27888.84,27825,6560,27830,11554,27815,7715,27810,22085
2020-06-12 09:47:20.65,27888.84,27825,5560,27830,1500,27815,17769,27810,12031
2020-06-12 09:47:21.70,27869.25,27820,1,27825,5060,27815,17769,27810,12031
2020-06-12 09:47:22.76,27869.25,27830,6560,27840,11304,27820,15754,27815,8856
2020-06-12 09:47:23.37,27869.25,27830,5060,27835,20053,27820,5700,27815,12070
2020-06-12 09:47:24.37,27869.25,27835,5060,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:25.38,27869.25,27835,6660,27840,11304,27825,7300,27820,11654
2020-06-12 09:47:26.44,27869.25,27835,1532,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:26.90,27869.25,27835,1532,27840,11304,27825,6800,27820,11654
2020-06-12 09:47:28.02,27869.25,27830,5700,27835,21553,27820,7300,27815,12070
2020-06-12 09:47:29.07,27869.25,27830,5676,27835,1500,27820,17354,27815,8857
2020-06-12 09:47:30.12,27869.25,27835,7176,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:31.18,27888.84,27835,7176,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:32.76,27888.84,27835,7176,27840,11304,27825,7300,27820,11654
2020-06-12 09:47:33.82,27888.84,27830,5676,27835,1500,27820,7300,27815,18911
2020-06-12 09:47:34.88,27888.84,27835,7176,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:35.94,27888.84,27835,7176,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:36.49,27888.84,27835,7176,27840,11304,27825,5700,27820,11654
2020-06-12 09:47:37.55,27888.84,27835,7176,27840,11304,27825,6900,27820,11654
2020-06-12 09:47:38.61,27888.84,27835,7176,27840,11304,27825,7300,27820,11654
2020-06-12 09:47:39.10,27888.84,27840,6336,27845,20053,27830,5700,27825,11654
2020-06-12 09:47:40.19,27888.84,27840,7633,27850,12107,27835,5700,27830,11654
2020-06-12 09:47:41.25,27881.99,27840,333,27845,5700,27835,5700,27830,11654
2020-06-12 09:47:42.31,27881.99,27850,7163,27855,20053,27845,4828,27840,5700
2020-06-12 09:47:43.38,27881.99,27845,6200,27850,1463,27840,5700,27835,10054
2020-06-12 09:47:44.44,27881.99,27845,6200,27850,12107,27840,333,27835,5367
2020-06-12 09:47:45.50,27881.99,27845,1,27850,7163,27840,5700,27835,10054
2020-06-12 09:47:46.00,27881.99,27845,6001,27850,1463,27840,5700,27835,10054
2020-06-12 09:47:47.09,27881.99,27845,5701,27850,1463,27840,5700,27835,10054
2020-06-12 09:47:48.16,27881.99,27845,1,27850,7163,27840,5700,27835,10054
2020-06-12 09:47:48.56,27881.99,27845,1,27850,7163,27840,5500,27835,10054
2020-06-12 09:47:49.77,27881.99,27845,1,27850,7163,27840,6500,27835,10054
2020-06-12 09:47:51.33,27885.4,27850,1463,27855,5700,27845,6499,27840,11254
2020-06-12 09:47:52.39,27885.4,27850,8063,27855,20053,27845,1199,27840,6500
2020-06-12 09:47:53.45,27885.4,27850,7163,27860,10644,27845,6459,27840,11254
2020-06-12 09:47:54.50,27885.4,27850,7163,27860,10644,27845,1159,27840,16554
2020-06-12 09:47:55.56,27885.4,27855,6600,27865,40053,27845,16913,27840,11199
2020-06-12 09:47:56.61,27885.4,27855,6500,27860,10644,27850,60,27845,6859
2020-06-12 09:47:58.09,27885.4,27855,6499,27860,10644,27850,60,27845,6859
2020-06-12 09:47:59.26,27885.4,27855,5639,27860,10644,27845,6859,27840,11254
2020-06-12 09:47:59.79,27885.4,27855,6539,27860,10644,27845,6859,27840,11254
2020-06-12 09:48:00.86,27887.64,27850,5639,27855,10954,27845,1159,27840,6900
2020-06-12 09:48:01.92,27887.64,27850,6539,27855,20053,27845,1159,27840,6900
2020-06-12 09:48:02.98,27887.64,27850,5603,27860,10644,27845,1159,27840,16954
