time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-02 10:07:52.920000,0.0,11650,4950,11655,12283,11640,3296,11635,6485
2020-06-02 10:07:53.320000,0.0,11645,3450,11650,4950,11640,3296,11635,6485
2020-06-02 10:07:53.930000,0.0,11645,4950,11650,4950,11635,6485,11630,6732
2020-06-02 10:07:54.820000,11707.24,11645,4950,11650,4950,11640,3296,11635,6485
2020-06-02 10:07:55.260000,11707.24,11645,5050,11650,4950,11640,3296,11635,6485
2020-06-02 10:07:56.490000,11707.24,11645,5050,11650,4950,11635,6485,11630,6732
2020-06-02 10:07:57.030000,11707.24,11645,5050,11650,4950,11635,3152,11630,6732
2020-06-02 10:07:57.900000,11707.24,11645,5050,11650,4950,11635,3152,11630,6732
2020-06-02 10:08:00.430000,11707.24,11645,3450,11650,4950,11640,3296,11635,6485
2020-06-02 10:08:01.730000,11707.24,11650,4950,11655,10283,11640,3296,11635,6485
2020-06-02 10:08:02.310000,11707.24,11650,4950,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:03.040000,11707.24,11650,4950,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:04.510000,11707.24,11650,4950,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:06.650000,11709.9,11650,4950,11655,10283,11640,3296,11635,6485
2020-06-02 10:08:07.150000,11709.9,11650,4950,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:07.710000,11709.9,11650,4950,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:08.600000,11709.9,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:09.340000,11709.9,11655,10283,11660,3459,11645,3060,11640,6629
2020-06-02 10:08:09.950000,11709.9,11655,10283,11660,3459,11645,3060,11640,6629
2020-06-02 10:08:10.530000,11709.9,11655,10283,11660,5459,11645,3060,11640,6629
2020-06-02 10:08:11.040000,11709.9,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:11.620000,11709.9,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:12.060000,11709.9,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:12.540000,11709.9,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:13.720000,11709.9,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:13.930000,11709.9,11650,3850,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:14.120000,11709.9,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:15.400000,11711.96,11650,5050,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:15.930000,11711.96,11650,5050,11655,10283,11640,3296,11635,6485
2020-06-02 10:08:16.680000,11711.96,11645,3450,11650,5050,11640,3296,11635,6485
2020-06-02 10:08:17.240000,11711.96,11650,5050,11655,10283,11640,3296,11635,6485
2020-06-02 10:08:17.730000,11711.96,11650,5050,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:18.120000,11711.96,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:19.950000,11711.96,11645,52,11650,5050,11640,6629,11635,6485
2020-06-02 10:08:20.390000,11711.96,11650,5050,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:23.010000,11711.96,11650,5050,11655,10283,11640,3296,11635,6485
2020-06-02 10:08:25.420000,11709.78,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:26.480000,11709.78,11655,10283,11660,5459,11645,3060,11640,6629
2020-06-02 10:08:27.480000,11709.78,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:27.790000,11709.78,11650,5050,11655,10283,11640,6629,11635,6485
2020-06-02 10:08:28.350000,11709.78,11650,5050,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:28.790000,11709.78,11650,3450,11655,10283,11645,3060,11640,6629
2020-06-02 10:08:29.120000,11709.78,11655,10283,11660,5459,11645,3060,11640,6629
2020-06-02 10:08:30.600000,11709.78,11655,10305,11660,5459,11645,3060,11640,6629
2020-06-02 10:08:32.630000,11709.78,11655,10305,11660,3459,11645,3060,11640,6629
