time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-11 09:36:10.75,0.0,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:36:12.05,0.0,29060,10052,29065,9999,29040,9974,29035,19746
2020-06-11 09:36:12.85,0.0,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:13.69,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:14.52,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:15.39,29114.02,29065,20051,29070,9997,29045,9747,29040,9974
2020-06-11 09:36:16.19,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:17.60,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:20.69,29114.02,29065,10052,29070,9997,29045,9999,29040,19721
2020-06-11 09:36:21.46,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:25.93,29114.02,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:29.22,29114.02,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:36:30.05,29114.02,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:36:52.36,29111.36,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:53.33,29106.83,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:54.30,29106.83,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:36:55.97,29106.83,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:57.52,29106.83,29060,10052,29065,9999,29040,9974,29035,19746
2020-06-11 09:36:58.27,29106.83,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:36:59.00,29106.83,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:36:59.66,29106.83,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:37:02.60,29106.83,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:37:04.32,29107.6,29050,10052,29060,9997,29035,9999,29030,19721
2020-06-11 09:37:05.21,29107.6,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:37:08.04,29107.6,29050,10052,29055,9999,29030,9974,29025,19746
2020-06-11 09:37:08.80,29107.6,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:37:11.19,29107.6,29045,10052,29050,9997,29025,19746,29020,9974
2020-06-11 09:37:32.47,0.0,29045,10052,29050,9997,29025,19746,29020,9974
2020-06-11 09:37:33.21,29118.82,29045,10052,29050,9997,29025,19746,29020,9974
2020-06-11 09:37:34.97,29118.82,29050,10052,29055,9999,29030,9974,29025,19746
2020-06-11 09:37:35.68,29118.82,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:37:44.57,29097.39,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:37:48.05,29097.39,29050,10052,29055,9999,29030,19721,29025,9999
2020-06-11 09:37:50.21,29097.39,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:37:51.86,29097.39,29060,20049,29065,9999,29040,9747,29035,9999
2020-06-11 09:37:52.82,29097.39,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:37:53.74,29099.98,29060,20049,29065,9999,29040,9747,29035,9999
2020-06-11 09:37:54.54,29099.98,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:37:59.68,29099.98,29065,10052,29070,9997,29045,19746,29040,9974
2020-06-11 09:38:00.74,29099.98,29065,20051,29070,9997,29045,9747,29040,9974
2020-06-11 09:38:01.82,29099.98,29065,20051,29070,9997,29045,9747,29040,9974
2020-06-11 09:38:02.82,29099.98,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:38:03.41,29085.45,29060,10052,29065,9999,29040,19721,29035,9999
2020-06-11 09:38:04.13,29085.45,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:38:04.99,29085.45,29050,10052,29060,9997,29035,9999,29030,19721
2020-06-11 09:38:06.47,29085.45,29050,10052,29060,9997,29035,9999,29030,19721
2020-06-11 09:38:07.30,29085.45,29055,10052,29060,9997,29035,19746,29030,9974
2020-06-11 09:38:11.30,29085.45,29055,10052,29065,9999,29040,9974,29035,19746
2020-06-11 09:38:11.80,29085.45,29060,10052,29065,9999,29040,19700,29035,9999
2020-06-11 09:38:15.71,29116.28,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:17.18,29116.28,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:19.97,29116.28,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:20.61,29116.28,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:25.21,29116.61,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:26.55,29116.61,29055,10358,29060,9997,29035,19746,29030,9953
2020-06-11 09:38:27.32,29116.61,29055,306,29060,10052,29040,19700,29035,9999
2020-06-11 09:38:28.13,29116.61,29055,306,29060,10052,29040,9953,29035,19746
2020-06-11 09:38:28.74,29116.61,29055,10358,29060,9997,29035,19746,29030,9953
2020-06-11 09:38:29.47,29116.61,29050,10052,29055,306,29035,9999,29030,19700
2020-06-11 09:38:30.11,29116.61,29050,10358,29060,9997,29035,9987,29030,19700
2020-06-11 09:38:30.91,29116.61,29050,10358,29055,9999,29030,19700,29025,9987
2020-06-11 09:38:31.68,29116.61,29050,306,29055,10052,29035,19734,29030,9953
2020-06-11 09:38:32.79,29116.61,29050,306,29055,10052,29035,19734,29030,9953
2020-06-11 09:38:37.27,29105.48,29050,306,29055,10052,29035,9987,29030,19700
2020-06-11 09:38:37.88,29105.48,29050,10358,29055,9999,29030,19700,29025,9987
2020-06-11 09:38:39.98,29105.48,29050,306,29055,10052,29035,19734,29030,9953
2020-06-11 09:38:41.61,29105.48,29050,10358,29055,9999,29030,19700,29025,9987
2020-06-11 09:38:43.50,29105.48,29050,306,29055,10052,29035,19734,29030,9953
2020-06-11 09:38:43.77,29105.48,29050,10358,29055,9999,29030,19700,29025,9987
2020-06-11 09:38:49.63,29114.99,29045,10052,29050,10303,29025,19734,29020,9953
2020-06-11 09:38:50.32,29114.99,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:38:52.49,29114.99,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:38:53.30,29114.99,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:38:55.00,29106.46,29045,306,29050,10052,29030,19700,29025,9987
2020-06-11 09:38:59.21,29106.46,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:39:01.89,29106.46,29045,306,29050,10052,29030,19700,29025,9987
2020-06-11 09:39:02.49,29106.46,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:39:04.43,29109.49,29045,10358,29050,9997,29025,19734,29020,9953
2020-06-11 09:39:06.16,29109.49,29040,10052,29045,10305,29020,19700,29015,9987
2020-06-11 09:39:06.74,29109.49,29040,10358,29045,9999,29020,19700,29015,9987
2020-06-11 09:39:10.43,29109.49,29040,306,29045,10052,29025,19734,29020,9953
2020-06-11 09:39:11.08,29109.49,29040,10358,29050,9997,29025,9987,29020,19700
2020-06-11 09:39:11.86,29109.49,29040,10358,29045,9999,29020,19700,29015,9987
2020-06-11 09:39:15.74,29116.56,29040,10358,29045,9999,29020,19700,29015,9987
2020-06-11 09:39:16.41,29116.56,29040,10358,29045,9999,29020,19700,29015,9987
2020-06-11 09:39:17.57,29116.56,29035,10052,29040,10303,29015,19734,29010,9953
2020-06-11 09:39:18.21,29116.56,29035,10358,29045,9999,29020,9953,29015,19734
2020-06-11 09:39:18.88,29116.56,29035,10358,29040,9997,29015,19734,29010,9953
2020-06-11 09:39:19.61,29116.56,29035,10358,29040,9997,29015,19734,29010,9953
2020-06-11 09:39:20.27,29116.56,29035,10358,29040,9997,29015,19734,29010,9953
2020-06-11 09:39:21.74,29116.56,29035,10358,29040,9997,29015,19734,29010,9953
2020-06-11 09:39:24.04,29102.67,29035,10358,29040,9997,29015,19734,29010,9953
2020-06-11 09:39:24.88,29102.67,29030,10052,29035,10305,29010,19700,29005,9987
2020-06-11 09:39:25.53,29102.67,29030,10358,29035,9999,29010,19700,29005,9987
2020-06-11 09:39:26.30,29102.67,29030,10358,29035,9999,29010,19700,29005,9987
2020-06-11 09:39:26.97,29102.67,29030,306,29035,10052,29015,19734,29010,9953
2020-06-11 09:39:27.71,29102.67,29030,10358,29035,9999,29010,19700,29005,9987
2020-06-11 09:39:30.14,29102.67,29030,306,29035,10052,29015,19734,29010,9953
