time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-10 10:38:02.360000,0.0,29185,103,29190,29951,29175,9151,29170,10499
2020-06-10 10:38:02.990000,0.0,29185,103,29195,29901,29180,9151,29175,9999
2020-06-10 10:38:03.660000,0.0,29185,103,29195,29901,29180,9151,29175,9999
2020-06-10 10:38:05.720000,29227.08,29195,9949,29200,30001,29185,9151,29175,9999
2020-06-10 10:38:06.160000,29227.08,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:06.490000,29227.08,29195,19952,29200,10049,29180,19550,29175,9999
2020-06-10 10:38:06.950000,29227.08,29195,29901,29200,10049,29180,9551,29175,9999
2020-06-10 10:38:09.080000,29227.08,29200,30001,29205,9950,29180,19550,29175,9999
2020-06-10 10:38:09.270000,29227.08,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:15.580000,29228.22,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:16.450000,29228.22,29200,50,29205,9950,29195,9151,29185,9999
2020-06-10 10:38:17.120000,29228.22,29200,50,29205,1,29195,9151,29190,9999
2020-06-10 10:38:18.000000,29228.22,29200,50,29205,9950,29195,9151,29185,9999
2020-06-10 10:38:18.140000,29228.22,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:20.500000,29228.22,29200,50,29205,9950,29195,9151,29185,9999
2020-06-10 10:38:21.730000,29228.22,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:23.730000,29228.22,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:25.890000,29206.72,29200,50,29205,9950,29195,9151,29185,9999
2020-06-10 10:38:26.090000,29206.72,29200,50,29205,1,29195,9151,29190,9999
2020-06-10 10:38:26.890000,29206.72,29200,50,29205,9950,29195,9151,29185,9999
2020-06-10 10:38:27.350000,29206.72,29200,50,29205,1,29195,9151,29190,9999
2020-06-10 10:38:27.620000,29206.72,29200,50,29205,19953,29190,19150,29185,9999
2020-06-10 10:38:28.490000,29206.72,29200,50,29205,1,29190,19150,29185,9999
2020-06-10 10:38:28.640000,29206.72,29200,50,29205,1,29190,19150,29185,9999
2020-06-10 10:38:28.990000,29206.72,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:33.200000,29206.72,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:33.760000,29206.72,29200,50,29205,29902,29185,19150,29180,10399
2020-06-10 10:38:34.290000,29206.72,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:36.410000,29224.14,29200,50,29205,29902,29185,19150,29180,10399
2020-06-10 10:38:36.710000,29224.14,29200,20002,29205,9950,29185,19150,29180,10399
2020-06-10 10:38:37.440000,29224.14,29200,50,29205,29902,29185,19150,29180,10399
2020-06-10 10:38:37.540000,29224.14,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:38.300000,29224.14,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:40.120000,29224.14,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:41.370000,29224.14,29200,50,29205,29902,29190,9151,29185,9999
2020-06-10 10:38:42.240000,29224.14,29200,30001,29205,9950,29185,9151,29180,10399
2020-06-10 10:38:45.940000,29211.72,29195,29901,29200,10049,29180,9551,29175,9999
2020-06-10 10:38:47.110000,29211.72,29195,29901,29200,10049,29180,9551,29175,9999
