time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-12 09:46:49.56,0.0,27835,2496,27840,32749,27830,6051,27825,18816
2020-06-12 09:46:50.47,0.0,27845,44754,27850,20658,27835,7919,27830,16051
2020-06-12 09:46:51.37,27872.75,27845,33252,27850,20658,27835,7909,27830,19065
2020-06-12 09:46:52.26,27872.75,27845,33252,27850,20658,27835,7909,27830,20265
2020-06-12 09:46:53.37,27872.75,27845,30220,27850,20658,27835,7884,27830,20265
2020-06-12 09:46:54.43,27872.75,27845,30220,27850,20658,27835,7884,27830,20265
2020-06-12 09:46:55.17,27872.75,27845,2,27850,35045,27840,6100,27835,20905
2020-06-12 09:46:56.06,27872.75,27845,30220,27850,20658,27840,1200,27835,7884
2020-06-12 09:46:57.13,27872.75,27840,32268,27845,18884,27835,2465,27830,6051
2020-06-12 09:46:58.73,27872.75,27840,34528,27845,18884,27835,262,27830,6051
2020-06-12 09:46:59.16,27872.75,27840,34528,27845,18884,27830,6051,27825,16011
2020-06-12 09:47:00.16,27896.21,27835,5268,27840,34528,27830,6524,27825,16011
2020-06-12 09:47:01.06,27896.21,27835,29654,27840,20141,27830,473,27825,6011
2020-06-12 09:47:01.97,27896.21,27830,217,27835,32678,27825,6011,27820,20942
2020-06-12 09:47:02.86,27896.21,27830,217,27835,32678,27825,6012,27820,20942
2020-06-12 09:47:03.76,27896.21,27830,30552,27835,18291,27825,51,27820,7674
2020-06-12 09:47:04.76,27896.21,27830,20553,27835,18291,27825,51,27820,7674
2020-06-12 09:47:05.67,27896.21,27825,5832,27830,30551,27820,7674,27815,20732
2020-06-12 09:47:06.56,27896.21,27830,33448,27835,18295,27820,7819,27815,19124
2020-06-12 09:47:07.56,27896.21,27830,6050,27835,32682,27825,5961,27820,7819
2020-06-12 09:47:08.47,27896.21,27830,30436,27835,18295,27820,7724,27815,19124
2020-06-12 09:47:09.47,27896.21,27830,33423,27835,18295,27820,7894,27815,19124
2020-06-12 09:47:10.47,27896.21,27825,5832,27830,33483,27820,7894,27815,16111
2020-06-12 09:47:11.36,27888.73,27830,6091,27835,32682,27825,9742,27820,17894
2020-06-12 09:47:12.47,27888.73,27830,161,27835,32682,27825,5761,27820,17894
2020-06-12 09:47:13.46,27888.73,27830,4,27835,32678,27825,5766,27820,20935
2020-06-12 09:47:14.35,27888.73,27835,32678,27840,20141,27825,5766,27820,20942
2020-06-12 09:47:15.37,27888.73,27830,2,27835,32683,27825,5766,27820,20942
2020-06-12 09:47:16.17,27888.73,27835,5,27840,34535,27830,6058,27825,15776
2020-06-12 09:47:17.17,27888.73,27835,32703,27840,20148,27830,23,27825,5776
2020-06-12 09:47:18.17,27888.73,27835,32703,27840,20148,27830,73,27825,5776
2020-06-12 09:47:18.96,27888.73,27830,20301,27835,18316,27825,5776,27820,7899
2020-06-12 09:47:19.87,27888.73,27830,20301,27835,18316,27825,5776,27820,7899
2020-06-12 09:47:20.56,27869.14,27830,5914,27835,32703,27825,5776,27820,17899
2020-06-12 09:47:21.37,27869.14,27830,20301,27835,18316,27825,5776,27820,7899
2020-06-12 09:47:22.26,27869.14,27835,5272,27840,44535,27830,3504,27825,15776
2020-06-12 09:47:23.26,27869.14,27835,29663,27840,30148,27830,100,27825,6775
2020-06-12 09:47:24.26,27869.14,27840,34162,27845,18994,27830,5661,27825,19670
2020-06-12 09:47:25.05,27869.14,27840,34162,27845,18994,27830,5564,27825,19770
2020-06-12 09:47:25.96,27869.14,27840,34181,27845,18994,27830,5614,27825,19773
2020-06-12 09:47:26.87,27869.14,27840,34181,27845,18994,27835,3200,27830,6814
2020-06-12 09:47:27.66,27869.14,27835,27231,27840,19794,27830,1264,27825,6878
2020-06-12 09:47:28.66,27869.14,27835,5268,27840,30919,27830,6815,27825,16878
2020-06-12 09:47:29.66,27869.14,27840,30919,27845,18994,27835,1287,27830,5615
2020-06-12 09:47:30.66,27888.72,27840,30919,27845,18994,27830,5585,27825,16878
2020-06-12 09:47:31.57,27888.72,27840,30929,27845,18994,27830,5580,27825,17878
2020-06-12 09:47:32.57,27888.72,27840,30929,27845,18994,27830,5640,27825,20914
2020-06-12 09:47:33.57,27888.72,27835,26392,27840,21540,27830,60,27825,7249
2020-06-12 09:47:34.57,27888.72,27835,100,27840,32665,27830,5617,27825,20323
2020-06-12 09:47:35.46,27888.72,27835,100,27840,32665,27830,5717,27825,17249
2020-06-12 09:47:36.46,27888.72,27840,32665,27845,18994,27830,6787,27825,20297
2020-06-12 09:47:37.36,27888.72,27840,32665,27845,18994,27830,6787,27825,21297
2020-06-12 09:47:38.16,27888.72,27840,32665,27845,18994,27830,6837,27825,20297
2020-06-12 09:47:39.07,27888.72,27840,1753,27845,30119,27835,6100,27830,19870
2020-06-12 09:47:40.07,27888.72,27845,2083,27850,35690,27840,6427,27835,16100
2020-06-12 09:47:41.07,27881.88,27850,35690,27855,29884,27840,6417,27835,20337
2020-06-12 09:47:41.96,27881.88,27855,34938,27860,30785,27850,4932,27845,5761
2020-06-12 09:47:43.06,27881.88,27850,30219,27855,19884,27840,6467,27835,20337
2020-06-12 09:47:44.06,27881.88,27850,30219,27855,19884,27845,5760,27840,6687
2020-06-12 09:47:45.06,27881.88,27855,34004,27860,20785,27845,5760,27840,19705
2020-06-12 09:47:45.97,27881.88,27850,10,27855,34004,27845,5407,27840,16587
2020-06-12 09:47:46.78,27881.88,27850,10,27855,34004,27845,4946,27840,16587
2020-06-12 09:47:47.66,27881.88,27850,9,27855,34004,27845,4946,27840,19647
2020-06-12 09:47:48.47,27881.88,27850,9,27855,34004,27845,4946,27840,20647
2020-06-12 09:47:49.27,27881.88,27855,34004,27860,20785,27845,4946,27840,20647
2020-06-12 09:47:50.06,27885.3,27850,100,27855,34004,27845,9946,27840,20647
2020-06-12 09:47:50.97,27885.3,27855,10020,27860,34905,27850,5530,27845,20441
2020-06-12 09:47:51.97,27885.3,27855,29408,27860,20785,27850,123,27845,10441
2020-06-12 09:47:53.06,27885.3,27855,21,27860,34905,27850,5553,27845,20541
2020-06-12 09:47:54.17,27885.3,27855,29407,27860,20785,27850,5553,27845,10541
2020-06-12 09:47:55.17,27885.3,27860,6205,27865,44919,27855,871,27850,12603
2020-06-12 09:47:56.17,27885.3,27860,30324,27865,20799,27850,2604,27845,23545
2020-06-12 09:47:57.17,27885.3,27860,30305,27865,20799,27850,2604,27845,24546
2020-06-12 09:47:58.06,27885.3,27860,30305,27865,20799,27850,2604,27845,24546
2020-06-12 09:47:58.97,27885.3,27860,33397,27865,20799,27850,6151,27845,20542
2020-06-12 09:47:59.76,27885.3,27860,33380,27865,20799,27850,6152,27845,23690
2020-06-12 09:48:00.67,27887.53,27855,19389,27860,19262,27850,6152,27845,5542
2020-06-12 09:48:01.67,27887.53,27855,29370,27860,19262,27850,52,27845,5542
2020-06-12 09:48:02.56,27887.53,27855,5251,27860,33382,27850,6152,27845,15542
2020-06-12 09:48:03.46,27887.53,27860,68,27865,34919,27855,5102,27850,16152
2020-06-12 09:48:04.56,27887.53,27860,68,27865,34919,27855,5102,27850,16152
2020-06-12 09:48:05.46,27887.53,27860,34,27865,34919,27855,5102,27850,17152
2020-06-12 09:48:06.46,27887.53,27860,6134,27865,34919,27855,5102,27850,16152
