time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-05 08:47:17.270000,0.0,28550,10,28600,100,28540,34,28535,11
2020-06-05 08:47:23.470000,0.0,28550,11,28600,100,28540,34,28535,11
2020-06-05 08:47:28.080000,0.0,28550,11,28600,100,28540,34,28535,11
2020-06-05 08:47:32.770000,0.0,28550,11,28600,100,28540,34,28535,11
2020-06-05 08:47:38.110000,0.0,28550,11,28600,100,28540,34,28535,11
2020-06-05 08:47:39.270000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:47:43.170000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:47:47.670000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:47:52.700000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:47:57.370000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:01.770000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:01.860000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:04.490000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:06.380000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:07.970000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:10.380000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:10.970000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:12.500000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:13.270000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:13.560000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:14.970000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:15.590000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:17.520000,0.0,28550,11,28600,100,28545,4,28540,34
2020-06-05 08:48:17.770000,0.0,28550,11,28600,100,28545,5,28540,34
2020-06-05 08:48:19.760000,0.0,28550,11,28600,100,28545,5,28540,34
2020-06-05 08:48:19.970000,0.0,28550,11,28600,100,28545,5,28540,34
2020-06-05 08:48:21.280000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:22.770000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:24.270000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:25.480000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:25.620000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:28.070000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:30.400000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:31.770000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:33.510000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:36.590000,0.0,28550,11,28600,100,28545,6,28540,34
2020-06-05 08:48:36.980000,0.0,28550,11,28600,100,28545,6,28540,34
