time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-09 09:06:56.450000,0.0,29450,50,29455,5000,29445,9668,29440,20823
2020-06-09 09:06:57.540000,0.0,29455,5000,29460,19411,29445,9768,29440,20823
2020-06-09 09:06:58.540000,0.0,29460,6402,29465,19798,29450,8150,29445,19130
2020-06-09 09:06:59.650000,0.0,29465,5299,29470,19725,29455,12084,29450,26282
2020-06-09 09:07:00.840000,29507.89,29465,5299,29470,19725,29455,8803,29450,26282
2020-06-09 09:07:02.040000,29507.89,29470,5117,29475,9808,29465,2500,29460,22285
2020-06-09 09:07:03.250000,29507.89,29470,5117,29475,19807,29465,3700,29460,11974
2020-06-09 09:07:04.340000,29507.89,29470,40,29475,5189,29465,24757,29460,20786
2020-06-09 09:07:05.500000,29507.89,29475,5099,29480,19733,29470,4151,29465,12526
2020-06-09 09:07:06.750000,29507.89,29475,6299,29480,9734,29470,2500,29465,22837
2020-06-09 09:07:07.840000,29507.89,29475,5099,29480,9734,29470,2495,29465,22842
2020-06-09 09:07:08.950000,29507.89,29475,5299,29480,19833,29470,2495,29465,12531
2020-06-09 09:07:09.940000,29506.58,29475,5449,29480,19834,29470,10615,29465,11032
2020-06-09 09:07:11.140000,29506.58,29475,5449,29480,9925,29470,2465,29465,22842
2020-06-09 09:07:12.250000,29506.58,29475,5449,29480,9925,29470,11834,29465,21343
2020-06-09 09:07:13.450000,29506.58,29475,351,29480,5309,29470,11784,29465,21343
2020-06-09 09:07:14.550000,29506.58,29480,5309,29485,20997,29470,12444,29465,21343
2020-06-09 09:07:15.550000,29506.58,29475,176,29480,5309,29470,12444,29465,21343
2020-06-09 09:07:16.640000,29506.58,29480,5307,29485,20997,29470,15472,29465,21338
2020-06-09 09:07:17.750000,29506.58,29475,4938,29480,19516,29470,2054,29465,13581
2020-06-09 09:07:18.850000,29506.58,29475,4938,29480,9517,29470,3054,29465,23892
2020-06-09 09:07:19.950000,29517.25,29475,4938,29480,9727,29470,2918,29465,23992
2020-06-09 09:07:21.140000,29517.25,29480,19726,29485,20997,29470,12123,29465,11127
2020-06-09 09:07:22.340000,29517.25,29480,10628,29485,20997,29470,11857,29465,21438
2020-06-09 09:07:23.340000,29517.25,29480,6418,29485,20997,29470,11738,29465,21438
2020-06-09 09:07:24.340000,29517.25,29475,4938,29480,10754,29470,4285,29465,23992
2020-06-09 09:07:25.340000,29517.25,29475,4938,29480,10787,29470,4386,29465,23992
2020-06-09 09:07:26.450000,29517.25,29475,6338,29480,20786,29470,4386,29465,13681
2020-06-09 09:07:27.540000,29517.25,29475,6338,29480,20786,29470,4386,29465,13881
2020-06-09 09:07:28.650000,29517.25,29470,1004,29475,6338,29465,9823,29460,20829
2020-06-09 09:07:29.850000,29531.06,29475,100,29480,20796,29470,11705,29465,10304
2020-06-09 09:07:30.940000,29531.06,29475,100,29480,11297,29470,11865,29465,20715
2020-06-09 09:07:32.140000,29531.06,29475,100,29480,11297,29470,11823,29465,20715
2020-06-09 09:07:33.250000,29531.06,29480,1961,29485,6406,29475,8933,29470,20150
2020-06-09 09:07:34.450000,29531.06,29485,7606,29490,20257,29475,11553,29470,20150
2020-06-09 09:07:35.650000,29531.06,29480,4993,29485,20771,29475,1,29470,11823
2020-06-09 09:07:36.640000,29531.06,29475,50,29480,5993,29470,11823,29465,20965
2020-06-09 09:07:37.640000,29531.06,29480,5943,29485,20771,29470,14883,29465,20965
2020-06-09 09:07:38.750000,29531.06,29480,7443,29485,20771,29470,14869,29465,20965
2020-06-09 09:07:39.850000,29535.14,29480,2203,29485,10772,29475,10954,29470,23126
2020-06-09 09:07:40.950000,29535.14,29480,2210,29485,10772,29475,10054,29470,23126
2020-06-09 09:07:41.940000,29535.14,29480,6200,29485,20771,29475,50,29470,29416
2020-06-09 09:07:43.140000,29535.14,29480,80,29485,7706,29475,9788,29470,34692
2020-06-09 09:07:44.140000,29535.14,29480,80,29485,7706,29475,9788,29470,34925
2020-06-09 09:07:45.250000,29535.14,29485,7706,29490,20257,29475,9398,29470,34924
2020-06-09 09:07:46.240000,29535.14,29485,6406,29490,10358,29475,22681,29470,34924
2020-06-09 09:07:47.440000,29535.14,29480,500,29485,7506,29475,12355,29470,34924
2020-06-09 09:07:48.440000,29535.14,29480,490,29485,10550,29475,9352,29470,34924
2020-06-09 09:07:49.550000,29535.14,29480,5341,29485,10550,29475,9352,29470,35424
2020-06-09 09:07:50.650000,29520.37,29480,5541,29485,20549,29475,39,29470,30135
2020-06-09 09:07:51.650000,29520.37,29480,7499,29485,10550,29475,9585,29470,35424
2020-06-09 09:07:52.740000,29520.37,29480,7500,29485,10550,29475,239,29470,40446
2020-06-09 09:07:53.640000,29520.37,29480,7610,29485,10550,29475,9585,29470,35424
2020-06-09 09:07:54.740000,29520.37,29480,7810,29485,10550,29475,9585,29470,35424
2020-06-09 09:07:55.640000,29520.37,29480,7810,29485,20549,29475,239,29470,30146
2020-06-09 09:07:56.740000,29520.37,29480,2737,29485,10550,29475,9585,29470,35435
2020-06-09 09:07:57.750000,29520.37,29480,2540,29485,7506,29475,9584,29470,35435
2020-06-09 09:07:58.750000,29520.37,29480,7740,29485,20519,29475,238,29470,30146
2020-06-09 09:07:59.840000,29515.95,29485,6406,29490,20358,29480,12105,29475,10075
2020-06-09 09:08:00.940000,29515.95,29485,6406,29490,18814,29480,5000,29475,7944
2020-06-09 09:08:01.940000,29515.95,29485,6406,29490,18814,29480,4954,29475,11026
2020-06-09 09:08:02.940000,29515.95,29480,5000,29485,7606,29475,288,29470,38767
2020-06-09 09:08:03.840000,29515.95,29480,5000,29485,10673,29475,7554,29470,35445
2020-06-09 09:08:04.840000,29515.95,29480,6205,29485,20672,29475,1411,29470,28466
2020-06-09 09:08:05.750000,29515.95,29475,5938,29480,14302,29470,17937,29465,22175
2020-06-09 09:08:06.750000,29515.95,29475,4738,29480,24301,29470,17937,29465,11864
2020-06-09 09:08:07.750000,29515.95,29475,6338,29480,24801,29470,17936,29465,11864
2020-06-09 09:08:08.750000,29515.95,29470,14895,29475,23935,29465,1028,29460,11570
2020-06-09 09:08:09.860000,29499.2,29470,14888,29475,23935,29465,1028,29460,11570
2020-06-09 09:08:10.840000,29499.2,29470,4999,29475,13939,29465,5597,29460,24381
2020-06-09 09:08:11.950000,29499.2,29470,5029,29475,23938,29465,1128,29460,11570
2020-06-09 09:08:12.950000,29499.2,29470,5029,29475,23938,29465,5597,29460,11570
2020-06-09 09:08:13.950000,29499.2,29475,421,29480,13602,29470,8985,29465,21611
2020-06-09 09:08:14.950000,29499.2,29475,6459,29480,23601,29470,2530,29465,11300
2020-06-09 09:08:15.840000,29499.2,29475,5159,29480,23601,29470,6331,29465,11300
2020-06-09 09:08:16.650000,29499.2,29475,5152,29480,23601,29470,6331,29465,11300
2020-06-09 09:08:17.640000,29499.2,29470,5087,29475,14585,29465,450,29460,21881
2020-06-09 09:08:18.540000,29499.2,29470,4406,29475,25139,29465,450,29460,11570
2020-06-09 09:08:19.650000,29499.2,29465,5773,29470,22500,29460,320,29455,13387
2020-06-09 09:08:20.740000,29518.1,29465,5620,29470,22600,29455,10952,29450,22637
2020-06-09 09:08:21.950000,29518.1,29460,4679,29465,13740,29455,3050,29450,25969
