time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-08 09:24:26.470000,0.0,29230,2654,29235,11955,29225,15490,29220,14663
2020-06-08 09:24:27.250000,0.0,29230,2653,29235,11955,29225,15490,29220,14663
2020-06-08 09:24:27.840000,0.0,29230,2653,29235,11955,29225,11442,29220,14663
2020-06-08 09:24:28.650000,0.0,29230,12362,29235,30049,29220,14717,29215,15047
2020-06-08 09:24:29.440000,0.0,29230,10362,29235,30049,29225,2,29220,15717
2020-06-08 09:24:30.140000,0.0,29230,1834,29235,11955,29225,9454,29220,15663
2020-06-08 09:24:30.840000,29267.94,29230,1834,29235,11955,29225,9454,29220,15663
2020-06-08 09:24:31.640000,29267.94,29230,1834,29235,11955,29225,9454,29220,15663
2020-06-08 09:24:32.500000,29267.94,29235,9955,29240,29684,29230,99,29225,14434
2020-06-08 09:24:33.820000,29267.94,29235,4955,29240,14630,29230,10151,29225,9383
2020-06-08 09:24:34.120000,29267.94,29235,25,29240,14630,29230,10251,29225,16383
2020-06-08 09:24:34.570000,29267.94,29240,320,29245,16365,29235,9278,29230,15202
2020-06-08 09:24:35.540000,29267.94,29245,1,29250,14438,29240,9395,29235,19042
2020-06-08 09:24:36.650000,29267.94,29255,1,29260,8250,29250,11882,29245,13888
2020-06-08 09:24:37.740000,29267.94,29255,1,29260,10250,29250,7295,29245,13888
2020-06-08 09:24:38.740000,29267.94,29250,2500,29255,9931,29245,13942,29240,14629
2020-06-08 09:24:39.750000,29267.94,29250,10523,29255,30017,29240,14686,29235,14042
2020-06-08 09:24:40.640000,29267.94,29250,1508,29255,14963,29245,9443,29240,14630
2020-06-08 09:24:41.540000,29301.41,29250,1492,29255,11931,29245,9443,29240,14630
2020-06-08 09:24:42.340000,29301.41,29250,1492,29255,11931,29245,9443,29240,14630
2020-06-08 09:24:43.250000,29301.41,29250,11170,29255,30010,29240,12408,29235,15043
2020-06-08 09:24:44.140000,29301.41,29250,11170,29255,30010,29240,12408,29235,15043
2020-06-08 09:24:44.840000,29301.41,29250,11070,29255,30010,29240,10763,29235,15043
2020-06-08 09:24:45.570000,29301.41,29250,11070,29255,30010,29240,10763,29235,14043
2020-06-08 09:24:46.350000,29301.41,29250,14104,29255,30010,29240,10763,29235,14043
2020-06-08 09:24:47.140000,29301.41,29250,11070,29255,30010,29240,10763,29235,15043
2020-06-08 09:24:47.940000,29301.41,29250,11070,29255,30010,29240,10568,29235,15043
2020-06-08 09:24:48.640000,29301.41,29245,9730,29250,24106,29240,4674,29235,15097
2020-06-08 09:24:49.440000,29301.41,29245,11730,29250,29160,29240,4674,29235,15097
2020-06-08 09:24:50.140000,29301.41,29245,11730,29250,29160,29240,4672,29235,15097
2020-06-08 09:24:50.940000,29278.5,29250,14106,29255,30010,29245,200,29240,9676
2020-06-08 09:24:51.840000,29278.5,29250,11070,29255,30010,29245,200,29240,9676
2020-06-08 09:24:52.650000,29278.5,29250,13084,29255,30010,29245,200,29240,9676
2020-06-08 09:24:53.450000,29278.5,29250,10071,29255,30010,29245,200,29240,13690
2020-06-08 09:24:54.240000,29278.5,29250,10071,29255,30010,29245,200,29240,9676
2020-06-08 09:24:55.040000,29278.5,29250,10071,29255,30010,29245,200,29240,12705
2020-06-08 09:24:55.840000,29278.5,29245,11730,29250,28162,29240,4622,29235,14097
2020-06-08 09:24:56.650000,29278.5,29245,11769,29250,28163,29235,9081,29230,16546
2020-06-08 09:24:57.450000,29278.5,29240,1,29245,14799,29235,9082,29230,15012
2020-06-08 09:24:58.240000,29278.5,29240,9698,29245,29840,29235,4023,29230,15068
2020-06-08 09:24:58.950000,29278.5,29240,20,29245,11747,29235,9077,29230,16012
2020-06-08 09:24:59.740000,29278.5,29240,20,29245,11747,29235,9177,29230,16012
2020-06-08 09:25:00.540000,29280.06,29240,7698,29245,29837,29235,4123,29230,16068
2020-06-08 09:25:01.460000,29280.06,29240,9698,29245,29837,29230,10050,29225,17035
2020-06-08 09:25:02.350000,29280.06,29235,9930,29240,27800,29230,4996,29225,17089
2020-06-08 09:25:03.240000,29280.06,29235,9831,29240,27800,29230,4897,29225,16464
2020-06-08 09:25:03.950000,29280.06,29235,400,29240,12746,29230,9951,29225,16411
2020-06-08 09:25:04.740000,29280.06,29245,11813,29250,30759,29235,9079,29230,14932
2020-06-08 09:25:05.550000,29280.06,29245,5030,29250,15705,29240,9395,29235,14059
2020-06-08 09:25:06.240000,29280.06,29245,100,29250,15705,29240,4341,29235,19113
2020-06-08 09:25:07.150000,29280.06,29245,9813,29250,30759,29240,4337,29235,15113
2020-06-08 09:25:08.050000,29280.06,29240,15987,29245,29867,29235,4025,29230,14988
2020-06-08 09:25:08.850000,29280.06,29240,2500,29245,14813,29235,10054,29230,14932
2020-06-08 09:25:09.640000,29280.06,29240,2500,29245,14813,29235,10175,29230,15932
