time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-09 09:06:57.000000,6058.38,6050,32710,6055,43266,6045,40526,6040,111899
2020-06-09 09:06:57.840000,6057.99,6050,32710,6055,43266,6045,40526,6040,111899
2020-06-09 09:06:58.810000,6057.6,6050,32710,6055,43266,6045,40526,6040,111899
2020-06-09 09:07:00.010000,6057.6,6050,40312,6055,43266,6045,40526,6040,110879
2020-06-09 09:07:01.140000,6057.6,6050,69038,6055,43266,6045,34526,6040,116879
2020-06-09 09:07:02.340000,6057.6,6050,69038,6055,43266,6045,23832,6040,110879
2020-06-09 09:07:05.050000,6057.6,6050,69913,6055,43766,6045,3660,6040,116979
2020-06-09 09:07:06.020000,6057.6,6050,69893,6055,49566,6045,3652,6040,116979
2020-06-09 09:07:07.180000,6056.43,6050,69075,6055,49066,6045,5445,6040,116979
2020-06-09 09:07:08.150000,6056.43,6050,69075,6055,49066,6045,2145,6040,116979
2020-06-09 09:07:09.220000,6056.43,6050,69240,6055,49066,6045,2140,6040,116979
2020-06-09 09:07:10.320000,6055.26,6050,69240,6055,49066,6045,2140,6040,116979
2020-06-09 09:07:11.400000,6055.26,6050,69390,6055,49066,6045,2155,6040,103497
2020-06-09 09:07:12.600000,6055.26,6050,74390,6055,49066,6040,101497,6035,72066
2020-06-09 09:07:13.710000,6055.26,6045,8356,6050,74390,6040,101497,6035,72066
2020-06-09 09:07:14.850000,6055.26,6045,5000,6050,74390,6040,101517,6035,72066
2020-06-09 09:07:15.900000,6055.26,6045,5010,6050,74392,6040,101517,6035,67315
2020-06-09 09:07:16.940000,6055.26,6045,5010,6050,74392,6040,101517,6035,72066
2020-06-09 09:07:18.100000,6054.09,6050,69372,6055,44066,6045,4594,6040,101517
2020-06-09 09:07:19.130000,6055.78,6050,69372,6055,44066,6045,4100,6040,101517
2020-06-09 09:07:20.250000,6056.56,6050,69322,6055,44066,6045,3429,6040,121517
2020-06-09 09:07:21.410000,6056.56,6050,69322,6055,44066,6045,4129,6040,121517
2020-06-09 09:07:22.570000,6056.56,6050,69322,6055,44068,6045,4129,6040,121517
2020-06-09 09:07:23.640000,6056.56,6050,69322,6055,44068,6045,4129,6040,121517
2020-06-09 09:07:24.680000,6056.56,6050,69452,6055,44068,6045,4129,6040,121517
2020-06-09 09:07:25.710000,6056.56,6050,69451,6055,44068,6045,4429,6040,121517
2020-06-09 09:07:26.700000,6056.17,6050,69451,6055,44068,6045,4429,6040,134999
